"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"P26","HDR1X1-BIG2","4173.228mil","1374.016mil","4173.228mil","1374.016mil","4173.228mil","1374.016mil","T","0.00","2"
"P27","HDR1X1-BIG2","4433.071mil","1208.661mil","4433.071mil","1208.661mil","4433.071mil","1208.661mil","T","0.00","3"
"P28","HDR1X1-BIG2","4433.071mil","1374.016mil","4433.071mil","1374.016mil","4433.071mil","1374.016mil","T","0.00","4"
"P54","HDR1X1-BIG2","3854.331mil","1102.362mil","3854.331mil","1102.362mil","3854.331mil","1102.362mil","T","0.00","45"
"P53","HDR1X1-BIG2","3712.598mil","1102.362mil","3712.598mil","1102.362mil","3712.598mil","1102.362mil","T","0.00","44"
"P51","HDR1X1-BIG2","3429.134mil","1102.362mil","3429.134mil","1102.362mil","3429.134mil","1102.362mil","T","0.00","42"
"P52","HDR1X1-BIG2","3570.866mil","1102.362mil","3570.866mil","1102.362mil","3570.866mil","1102.362mil","T","0.00","43"
"P12","HDR1X1-BIG2","3854.331mil","1251.968mil","3854.331mil","1251.968mil","3854.331mil","1251.968mil","T","0.00","30"
"P9","HDR1X1-BIG2","3429.134mil","1251.968mil","3429.134mil","1251.968mil","3429.134mil","1251.968mil","T","0.00","27"
"P10","HDR1X1-BIG2","3570.866mil","1251.968mil","3570.866mil","1251.968mil","3570.866mil","1251.968mil","T","0.00","28"
"P11","HDR1X1-BIG2","3712.598mil","1251.968mil","3712.598mil","1251.968mil","3712.598mil","1251.968mil","T","0.00","29"
"P22","HDR1X1-BIG2","3287.402mil","1102.362mil","3287.402mil","1102.362mil","3287.402mil","1102.362mil","T","0.00","41"
"P41","HDR1X1-BIG2","3429.134mil","1401.575mil","3429.134mil","1401.575mil","3429.134mil","1401.575mil","T","0.00","12"
"P39","HDR1X1-BIG2","3145.669mil","1401.575mil","3145.669mil","1401.575mil","3145.669mil","1401.575mil","T","0.00","10"
"P38","HDR1X1-BIG2","3003.937mil","1401.575mil","3003.937mil","1401.575mil","3003.937mil","1401.575mil","T","0.00","9"
"P37","HDR1X1-BIG2","2862.205mil","1401.575mil","2862.205mil","1401.575mil","2862.205mil","1401.575mil","T","0.00","8"
"P16","HDR1X1-BIG2","2295.276mil","1102.362mil","2295.276mil","1102.362mil","2295.276mil","1102.362mil","T","0.00","34"
"P15","HDR1X1-BIG2","2153.543mil","1102.362mil","2153.543mil","1102.362mil","2153.543mil","1102.362mil","T","0.00","33"
